Price,EMA1,MACD,RSI
187.41,193.37,-1.98,30.98
187.7,192.34,-2.29,31.84
186.43,191.27,-2.58,30.08
186.27,190.36,-2.77,29.86
188.47,190.01,-2.67,36.76
190.3,190.07,-2.39,41.86
194.07,190.79,-1.81,50.65
192.69,191.14,-1.48,47.81
194.93,191.83,-1.01,52.44
196.43,192.66,-0.51,55.28
196.16,193.3,-0.16,54.65
198.41,194.23,0.3,58.84
198.11,194.93,0.6,58.08
199.38,195.74,0.93,60.42
201.66,196.82,1.35,64.25
201.77,197.72,1.65,64.43
201.07,198.33,1.79,62.31
202.34,199.06,1.96,64.58
203.15,199.8,2.13,65.97
203.34,200.45,2.23,66.31
203.98,201.09,2.33,67.46
204.18,201.65,2.37,67.83
203.96,202.07,2.35,66.94
204.19,202.46,2.31,67.42
204.24,202.78,2.24,67.53
204.37,203.07,2.17,67.83
205.55,203.52,2.17,70.5
205.22,203.83,2.11,68.79
205.58,204.15,2.07,69.65
206.68,204.61,2.09,72.16
207.26,205.09,2.12,73.41
207.11,205.46,2.09,72.51
207.64,205.85,2.08,73.73
207.2,206.1,2.0,70.93
205.76,206.04,1.78,62.61
207.09,206.23,1.7,66.5
207.89,206.53,1.68,68.61
207.66,206.74,1.62,67.3
208.0,206.97,1.58,68.26
206.61,206.9,1.39,60.52
206.47,206.82,1.22,59.79
203.16,206.16,0.79,45.78
204.19,205.8,0.55,49.71
200.89,204.91,0.07,39.8
199.51,203.93,-0.41,36.54
197.91,202.83,-0.89,33.17
201.79,202.64,-0.89,46.1
206.78,203.39,-0.45,57.45
206.52,203.96,-0.14,56.79
207.47,204.6,0.18,58.67
207.75,205.17,0.44,59.23
207.77,205.65,0.62,59.27
208.44,206.15,0.8,60.73
208.72,206.62,0.95,61.35
207.6,206.8,0.94,57.46
205.54,206.57,0.74,51.07
205.43,206.36,0.57,50.75
201.72,205.52,0.12,41.32
199.82,204.48,-0.39,37.5
202.31,204.09,-0.54,44.68
205.9,204.42,-0.33,53.03
204.25,204.39,-0.31,49.36
202.65,204.07,-0.43,46.05
202.08,203.71,-0.56,44.9
200.86,203.19,-0.76,42.47
199.02,202.43,-1.05,39.06
201.63,202.29,-1.02,45.7
202.06,202.25,-0.94,46.72
203.08,202.4,-0.78,49.16
206.1,203.07,-0.38,55.6
204.97,203.42,-0.18,52.91
205.45,203.79,0.01,53.92
202.74,203.6,-0.08,47.71
200.14,202.97,-0.37,42.66
201.99,202.79,-0.42,46.94
199.45,202.18,-0.67,42.29
201.92,202.13,-0.63,47.69
204.84,202.63,-0.33,53.23
204.06,202.89,-0.18,51.66
206.12,203.47,0.12,55.38
205.55,203.85,0.29,54.15
204.63,203.99,0.33,52.14
206.81,204.51,0.54,56.26
206.93,204.95,0.7,56.48
208.92,205.67,0.98,60.06
209.78,206.42,1.24,61.53
210.11,207.09,1.44,62.1
210.13,207.64,1.57,62.14
209.98,208.07,1.62,61.66
211.24,208.64,1.74,64.14
211.21,209.11,1.8,64.04
211.81,209.6,1.86,65.26
211.63,209.97,1.86,64.56
211.38,210.23,1.8,63.53
210.66,210.31,1.67,60.56
211.99,210.61,1.66,63.9
211.12,210.7,1.54,60.32
210.23,210.62,1.35,56.83
210.46,210.59,1.21,57.51
207.5,210.03,0.83,47.24
208.36,209.72,0.61,50.02
204.98,208.86,0.14,40.94
204.5,208.07,-0.25,39.84
207.1,207.89,-0.31,47.96
205.83,207.52,-0.46,44.79
208.58,207.71,-0.33,52.12
207.96,207.76,-0.27,50.5
210.46,208.25,-0.01,56.36
209.5,208.48,0.1,53.74
210.41,208.83,0.25,55.82
210.0,209.04,0.33,54.64
208.82,209.0,0.28,51.27
205.76,208.41,-0.03,43.78
205.27,207.84,-0.3,42.71
205.74,207.46,-0.45,44.12
208.25,207.6,-0.34,50.99
206.43,207.39,-0.41,46.54
205.7,207.08,-0.51,44.86
206.44,206.97,-0.52,46.94
207.83,207.12,-0.4,50.69
207.28,207.15,-0.35,49.22
207.98,207.3,-0.24,51.15
208.9,207.59,-0.08,53.64
210.04,208.04,0.14,56.58
209.09,208.23,0.22,53.55
209.49,208.46,0.31,54.65
210.43,208.82,0.45,57.19
210.37,209.1,0.54,56.97
207.95,208.89,0.39,48.9
209.85,209.06,0.43,54.34
209.6,209.16,0.44,53.54
210.63,209.43,0.53,56.38
211.16,209.74,0.62,57.81
211.65,210.09,0.73,59.13
210.77,210.21,0.72,55.77
211.44,210.44,0.76,57.73
210.57,210.46,0.7,54.37
208.46,210.1,0.46,47.24
210.72,210.21,0.47,54.14
211.32,210.41,0.52,55.79
208.9,210.14,0.34,48.3
208.04,209.76,0.12,45.95
208.87,209.59,0.04,48.54
211.62,209.96,0.21,56.02
210.61,210.08,0.24,52.99
209.98,210.06,0.21,51.14
210.02,210.05,0.19,51.25
212.21,210.45,0.36,57.2
212.44,210.81,0.5,57.78
213.1,211.23,0.65,59.46
213.03,211.55,0.74,59.19
212.88,211.79,0.79,58.59
213.5,212.1,0.86,60.39
212.99,212.27,0.85,58.16
210.7,211.98,0.64,49.39
212.7,212.11,0.64,55.65
212.46,212.18,0.61,54.78
211.14,211.99,0.46,50.15
211.57,211.91,0.38,51.58
211.36,211.81,0.3,50.81
211.92,211.83,0.28,52.81
210.13,211.52,0.1,46.38
209.77,211.2,-0.06,45.19
208.48,210.71,-0.29,41.15
208.45,210.3,-0.46,41.06
210.95,210.42,-0.36,50.82
211.63,210.64,-0.22,53.08
210.01,210.52,-0.25,47.5
209.11,210.27,-0.35,44.7
210.25,210.26,-0.32,48.8
210.59,210.32,-0.26,49.98
212.78,210.77,-0.02,56.86
210.81,210.78,-0.02,50.2
211.89,210.98,0.08,53.41
212.04,211.17,0.17,53.85
210.5,211.05,0.09,48.76
209.86,210.83,-0.02,46.8
209.82,210.65,-0.11,46.67
205.42,209.7,-0.55,35.42
205.85,209.0,-0.83,37.01
207.5,208.73,-0.88,42.8
207.31,208.47,-0.92,42.32
206.72,208.15,-0.98,40.8
208.02,208.13,-0.9,45.43
204.53,207.47,-1.13,37.08
204.9,207.01,-1.24,38.37
207.48,207.09,-1.08,46.54
209.77,207.58,-0.75,52.52
210.68,208.14,-0.41,54.68
210.61,208.59,-0.16,54.47
212.3,209.27,0.18,58.48
212.48,209.85,0.44,58.9
212.59,210.35,0.64,59.16
211.75,210.6,0.7,56.19
211.37,210.74,0.7,54.85
210.18,210.64,0.58,50.79
208.0,210.16,0.3,44.35
206.79,209.55,-0.02,41.25
209.33,209.51,-0.04,49.25
210.77,209.74,0.07,53.12
210.82,209.93,0.16,53.26
210.5,210.04,0.19,52.24
209.79,209.99,0.15,49.98
209.38,209.88,0.09,48.67
210.07,209.92,0.1,50.98
208.35,209.63,-0.05,45.51
207.95,209.33,-0.19,44.33
210.57,209.55,-0.06,52.93
208.67,209.39,-0.13,47.26
208.92,209.31,-0.16,48.04
208.66,209.19,-0.2,47.26
209.42,209.23,-0.16,49.82
210.59,209.48,-0.03,53.54
209.98,209.57,0.02,51.41
208.32,209.34,-0.09,46.07
203.97,208.37,-0.55,35.66
197.83,206.45,-1.41,26.57
189.5,203.37,-2.74,19.39
187.27,200.44,-3.88,18.0
194.46,199.35,-4.02,34.32
199.27,199.34,-3.65,42.52
199.28,199.33,-3.31,42.53
197.67,199.03,-3.13,40.59
191.77,197.71,-3.46,34.41
195.41,197.29,-3.33,40.41
195.55,196.97,-3.17,40.63
192.59,196.18,-3.24,37.44
197.43,196.4,-2.83,45.0
194.79,196.11,-2.7,42.03
195.85,196.06,-2.46,43.63
196.74,196.19,-2.17,45.0
196.01,196.15,-1.98,44.06
198.46,196.57,-1.59,47.96
200.18,197.23,-1.13,50.55
199.73,197.68,-0.8,49.85
195.45,197.28,-0.92,43.72
196.46,197.13,-0.9,45.42
193.91,196.54,-1.1,41.99
193.6,196.01,-1.25,41.58
192.9,195.44,-1.4,40.62
192.85,194.97,-1.49,40.55
188.01,193.71,-1.95,34.3
188.12,192.69,-2.25,34.55
191.63,192.5,-2.12,41.97
192.13,192.43,-1.95,42.95
195.0,192.9,-1.55,48.36
198.47,193.91,-0.92,54.0
197.79,194.62,-0.49,52.79
199.41,195.49,-0.03,55.35
201.21,196.53,0.47,58.05
201.33,197.4,0.84,58.23
201.52,198.15,1.12,58.53
200.25,198.53,1.19,55.64
199.29,198.67,1.14,53.5
202.35,199.34,1.35,58.9
203.27,200.05,1.56,60.38
203.37,200.66,1.7,60.55
203.11,201.1,1.75,59.85
