0,1,2,3
4.6177017435642075e-12,3.93823445190998e-12,4.3651604274407833e-13,5.894421276363692e-13
6.301788317719535e-12,5.192466576169238e-12,6.136110307628796e-13,8.865890380643137e-13
8.041410278714368e-12,6.289078519341625e-12,8.040917551684181e-13,1.2518615149475074e-12
9.7432885855438e-12,7.021234647169657e-12,9.65390048558683e-13,1.7042201484255652e-12
1.1145494522212082e-11,7.055996322465114e-12,1.0667118724839622e-12,2.2666508894488532e-12
1.1948145622882853e-11,5.8856067016855216e-12,1.440300424932193e-12,2.967298496669242e-12
1.1383169121890493e-11,2.6920812748622937e-12,2.3190281324854936e-12,3.8379723126200084e-12
8.82392846481609e-12,4.676406762708947e-12,3.809726515761516e-12,4.9254092480379895e-12
4.2779006211456705e-12,1.5080696105503775e-11,6.28188802550064e-12,6.253211774469775e-12
1.1132490049107549e-11,3.390656280209027e-11,1.0294294974824539e-11,7.873990409624585e-12
3.023788939076872e-11,6.431259374036815e-11,1.6618226062677995e-11,9.842469063997384e-12
6.383068822657627e-11,1.1190143264176482e-10,2.6193612807054326e-11,1.2149514930387749e-11
1.1916581173568762e-10,1.850206025783124e-10,4.040221547266278e-11,1.493275059722398e-11
2.0512806855188626e-10,2.9547359537996857e-10,6.125871585654563e-11,1.804414239430437e-11
3.336717199336921e-10,4.5967720387826344e-10,9.187068518313369e-11,2.111483639698941e-11
5.277777838931766e-10,7.015292346090013e-10,1.3631272734880042e-10,2.4026002342719752e-11
8.156954589762531e-10,1.0546690923882846e-09,2.0044574605675716e-10,2.6214410858697673e-11
1.2425824389207305e-09,1.5673142822847724e-09,2.917310018222356e-10,2.7152919780090955e-11
1.8582547303924083e-09,2.305470631157085e-09,4.226018391651085e-10,2.4876239545943947e-11
2.7491395019599835e-09,3.362730087696006e-09,6.094254035999338e-10,1.751155257274248e-11
4.033121057599808e-09,4.8705345457744685e-09,8.750461158926577e-10,6.09960564111511e-12
5.861281673219328e-09,7.010295776686877e-09,1.2533746835546866e-09,3.578318461942072e-11
8.477923571140494e-09,1.0039021980786092e-08,1.7886713904411743e-09,8.978465006816312e-11
1.219659970895798e-08,1.4313952415445176e-08,2.544683839388566e-09,1.8115382143363436e-10
1.7511565955888333e-08,2.0342735110152632e-08,3.60515361640948e-09,3.152171601967296e-10
2.506202778582316e-08,2.8834760506003992e-08,5.087987938667616e-09,5.230435475698799e-10
3.577299547917693e-08,4.078747806517553e-08,7.159345436163495e-09,8.390073964874246e-10
5.0979597045263e-08,5.761159269018273e-08,1.0049599666948436e-08,1.308000482908555e-09
7.238106514848877e-08,8.127094344098276e-08,1.4103871212066461e-08,2.0361134784007407e-09
1.0270354215945529e-07,1.1457634314497727e-07,1.9780432449576006e-08,3.1173513792970025e-09
1.4555045783867545e-07,1.615085832240861e-07,2.7759722256138785e-08,4.7386572756536834e-09
2.065352574363731e-07,2.278320993691606e-07,3.898221536799229e-08,7.0795285848594604e-09
2.9360460038774764e-07,3.2190787509015826e-07,5.473022149262521e-08,1.045551014350205e-08
4.183300563801259e-07,4.559473878893334e-07,7.682461351222225e-08,1.5316436222036045e-08
5.973318191722837e-07,6.478636292616897e-07,1.079535075729904e-07,2.2373360010093486e-08
8.550420374616573e-07,9.241512107520584e-07,1.5200505371034986e-07,3.264128351267137e-08
1.2272179823655293e-06,1.3242478205936443e-06,2.1471183663717234e-07,4.7603432326904834e-08
1.7698944686942075e-06,1.9079053886546273e-06,3.041870831236984e-07,6.909791185925935e-08
2.5658889263272924e-06,2.765955356970067e-06,4.323524860555045e-07,9.999492955408815e-08
3.740821335479163e-06,4.037480636787279e-06,6.168765822162488e-07,1.4434911438929034e-07
5.494724168057993e-06,5.938370996530452e-06,8.827250735020088e-07,2.0592371487661653e-07
8.120932241591137e-06,8.80234171628879e-06,1.2679844954993432e-06,2.9367915759486894e-07
1.208663677135657e-05,1.3150513387599906e-05,1.8275146838890785e-06,4.1701936376111477e-07
1.8109472793808768e-05,1.9797466510019376e-05,2.643604552289809e-06,5.910933816581838e-07
2.731296432931226e-05,3.0020492691019456e-05,3.838223254407734e-06,8.339746639033636e-07
4.146731494336525e-05,4.5827133043726155e-05,5.592825985780226e-06,1.1689901123471663e-06
6.334362703088898e-05,7.037153198858857e-05,8.170422240091828e-06,1.630105489140103e-06
9.726456758124006e-05,0.00010860026478054274,1.196289209062043e-05,2.2652266046374544e-06
0.00014998894889757625,0.00016825446871268388,1.754024410755224e-05,3.1274699645484636e-06
0.00023205002616080383,0.00026140764689515464,2.574922473204436e-05,4.309359592659502e-06
0.0003596711391065006,0.0004067810665095635,3.781725998024027e-05,5.935364222312248e-06
0.0005580726498981733,0.00063328292444519,5.556388565573131e-05,8.190343106137576e-06
0.0008657873907286177,0.000985210084116223,8.1545588467834e-05,1.1378938305598074e-05
0.0013414436805912863,0.0015298609695877606,0.00011934929271211529,1.5989799600940282e-05
0.0020725872950916086,0.002368231116567314,0.00017378677115932497,2.289478908137866e-05
0.003189512625390283,0.003649879868035034,0.00025127912082858285,3.3602786369686586e-05
0.0048815073458848435,0.005591998895245033,0.000360148564014048,5.05218417741716e-05
0.007413746433147273,0.008500921622854877,0.0005104428167234732,7.815960248944022e-05
0.011142012134135862,0.012790321600404008,0.0007127924256996104,0.00012361979303777106
0.016500705972567434,0.01897798653409197,0.0009745594008500691,0.0001983503683207141
0.023955841731592153,0.027626419854374768,0.0012966935757193852,0.00031784619883517553
0.033796661596803765,0.0391384158137191,0.0016607094558430046,0.0005033447755665354
0.045681277085193164,0.05324824145600122,0.0020104574997700155,0.0007693644828701623
0.057710937560774896,0.0679195344799164,0.0022304290621758672,0.0011013044096418695
